,time,rri,RRI
,16:08:34,1.333333333,1.333333333
,16:08:35,0,NaN
,16:08:36,0,NaN
,16:08:37,0,NaN
,16:08:38,0,NaN
,16:08:39,0,NaN
,16:08:40,0,NaN
,16:08:41,0,NaN
,16:08:42,0,NaN
79,16:08:43,0,NaN
,16:08:44,1.35,1.35
,16:08:45,0,NaN
,16:08:46,0,NaN
,16:08:47,0,NaN
,16:08:48,0,NaN
79,16:08:49,0,NaN
,16:08:50,0,NaN
,16:08:51,0,NaN
,16:08:52,0,NaN
,16:08:53,0,NaN
,16:08:54,1.333333333,1.333333333
,16:08:55,0,NaN
,16:08:56,0,NaN
,16:08:57,0,NaN
